Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,AF,SDD,Shindand,Shindand,HER,RQ,--3-----,0907,,3318N 06208E,
¦,AF,CBN,Shorabak,Shorabak,HEL,AS,--34----,1307,OAZ,3151N 06413E,
,AF,SBK,Spin Boldak,Spin Boldak,KAN,RL,--3-----,1307,,3100N 06624E,
,AF,TQN,Taluqan,Taluqan,,AI,---4----,9912,,,
,AF,TKO,Tarin Kowt,Tarin Kowt,URU,RL,--3-----,1307,,3237N 06552E,
,AF,TII,Tirinkot,Tirinkot,,AI,---4----,9601,,,
,AF,TGH,Torghundi,Torghundi,,RQ,0-------,9705,,,
,AF,RKH,Torkham,Torkham,NAN,RL,1-------,0901,,3453N 07155E,
,AF,TOW,Towraghondi,Towraghondi,HER,RL,--3-----,1307,,3515N 06217E,
,AF,URN,Urgoon,Urgoon,,AI,---4----,9912,,,
,AF,URZ,Uruzgan,Uruzgan,,AI,---4----,9601,,,
,AF,ZAJ,Zaranj,Zaranj,,AI,---4----,9912,,,
,AF,ZHA,Zhari Dasht,Zhari Dasht,KAN,RQ,--3-----,1001,,3138N 06531E,
,AG,ANU,Antigua,Antigua,,AI,1---5---,9601,,,
,AG,BBQ,Barbuda,Barbuda,,AI,1-------,9601,,,
,AG,FAM,Falmouth,Falmouth,,RL,1----6--,1107,,1701N 06147W,
,AG,PHM,Parham,Parham,,RL,1----6--,1107,,1705N 06145W,
,AG,SJO,Saint John's,Saint John's,,AI,1-------,1101,,1707N 06151W,
,AI,AXA,Anguilla,Anguilla,,AI,---45---,9601,,,
,AI,BLP,Blowing Point,Blowing Point,,QQ,1-------,8110,,,
,AI,CRH,Crocus Hill,Crocus Hill,,RL,--3-----,0607,,1813N 06304W,
,AI,MBB,Meads Bay Beach,Meads Bay Beach,,RL,1-------,1601,,1810N 06308W,
¦,AI,RBY,Road Bay,Road Bay,,AS,1-3-----,0001,,1812N 06305W,
,AI,SOM,Sombrero,Sombrero,,RQ,1-------,0901,,1836N 06328W,
,AI,FOR,The Forest,The Forest,,QQ,1-------,8110,,,
,AI,ROA,The Road,The Road,,QQ,1-------,8110,,,
,AI,VAL,The Valley,The Valley,,RL,--3-----,0201,,1813N 06303W,
,AI,WLL,Wall Blake,Wall Blake,,RL,1--4----,0201,,,
,AL,ARG,Argyrokastro,Argyrokastro,,RQ,--3-----,1001,,4007N 02013E,
,AL,BRT,Berat,Berat,BR,RL,--3--6--,0701,,4043N 01957E,
,AL,BQE,Bulqizë,Bulqize,09,RL,--3-----,1801,,4129N 02013E,
,AL,BUT,Butrint,Butrint,SR,RQ,1-------,0901,,3945N 02001E,
,AL,DRZ,Durrës,Durres,,RL,1-------,0103,,,
,AL,NPP,Elbasan,Elbasan,EL,RL,-23-----,1101,,4106N 02004E,
,AL,FIE,Fier,Fier,,RL,-23-----,0701,,4044N 01934E,
,AL,FUS,Fushe Arrez,Fushe Arrez,SH,RL,-----6--,0901,,4203N 02001E,
,AL,GOK,Gjirokastër,Gjirokaster,GJ,RL,--3--6--,0701,,4005N 02009E,
,AL,HMR,Himare,Himare,SR,RQ,1-------,0901,,4008N 01943E,
,AL,KRC,Korçë,Korce,KO,RL,--3-----,0501,,4037N 02046E,
,AL,KKU,Kukës,Kukes,KU,RL,--3--6--,1707,,4205N 02025E,
,AL,LZE,Lezhe,Lezhe,LE,RL,--3-----,1601,,4147N 01938E,
,AL,LUS,Lushnjë,Lushnje,LU,RL,--3-----,1301,,4056N 01942E,
,AL,MBR,Mbreshtan,Mbreshtan,01,RL,--3-----,1701,,4042N 01952E,
,AL,MIL,Milot,Milot,08,RL,--3-----,1801,,4140N 01943E,
,AL,ROM,Romano Port,Romano Port,02,RL,1-3-----,1901,,4122N 01925E,
,AL,SAR,Sarandë,Sarande,SR,RL,1-------,0212,,3953N 02000E,
,AL,SHG,Shëngjin,Shengjin,LE,RL,1-------,0212,,4148N 01934E,
,AL,SHK,Shkoder,Shkoder,,RL,--3-----,0901,,4204N 01931E,
,AL,SHZ,Shkozet,Shkozet,KA,RL,-----6--,1201,,4162N 01934E,
,AL,TEN,Tenes,Tenes,,RQ,0-------,8910,,,
,AL,TIA,Tirana,Tirana,,AI,---45---,9601,,,
,AL,VOA,Vlorë,Vlore,VL,RL,1-------,1501,,4028N 01929E,
,AL,VOR,Vore,Vore,TR,RL,--3-----,1501,,4123N 01939E,
,AM,ABO,Abovyan,Abovyan,,RL,-2------,0207,,4016N 04447E,
,AM,AHU,Akhuryan,Akhuryan,,QQ,-2------,8012,,,
,AM,A3A,Aparan,Aparan,AG,RL,--3-----,1601,,4035N 04421E,
,AM,ARG,Aragatsotn,Aragatsotn,,RL,-----6--,1107,,4015N 04410E,
,AM,ARA,Ararat,Ararat,,RL,-2------,0207,,3950N 04441E,
,AM,ARV,Armavir,Armavir,,RL,-----6--,1107,,4009N 04401E,
,AM,ASH,Ashtarak,Ashtarak,ER,RL,--3-----,1101,,4018N 04421E,
,AM,BRD,Berd,Berd,,RL,-----6--,1107,,4052N 04523E,
,AM,BYU,Byureghavan,Byureghavan,KT,RL,--3-----,1101,,4018N 04435E,
,AM,DIL,Dilijan,Dilijan,,RL,-----6--,1201,,4044N 04452E,
,AM,EZN,Ecmiadzin,Ecmiadzin,,RL,--3-----,0207,,4009N 04417E,
,AM,GRS,Goris,Goris,,RL,-----6--,1107,,3930N 04620E,
,AM,LWN,Gyumri,Gyumri,,AI,---4----,0212,,4048N 04350E,
,AM,HRA,Hrazdan,Hrazdan,KT,AM,-23-----,2101,,4032N 04446E,
,AM,JER,Jermuk,Jermuk,VD,RL,1----6--,1007,,,
,AM,KJN,Kajaran,Kajaran,,RL,-23-----,1307,,3909N 04609E,
,AM,KPN,Kapan,Kapan,SU,RL,--3-----,1501,,3912N 04624E,
,AM,ARM,Masis,Masis,AR,RL,-23--6--,0901,,4001N 04429E,
,AM,MMA,Mets Masrik,Mets Masrik,GR,RL,--3-----,1807,,4013N 04546E,
,AM,MTR,Metsamor,Metsamor,ER,RL,-----6--,1901,,4004N 04417E,
,AM,RN4,Rind,Rind,VD,RL,--3-----,1501,,3945N 04510E,
,AM,SPI,Spitak,Spitak,LO,RL,--3-----,1101,,4050N 04416E,
,AM,VZR,Vanadzor,Vanadzor,,RL,--3-----,0207,,4048N 04428E,
,AM,VED,Vedi,Vedi,AR,RL,--3-----,1601,,3954N 04443E,
,AM,EVN,Yerevan,Yerevan,ER,AI,-2345---,0907,,4011N 04431E,
,AO,AZZ,Ambriz,Ambriz,,AI,1--4----,9601,,,
,AO,ANL,Andulo,Andulo,,AI,---4----,9912,,,
,AO,ARO,Armada Olombendo FPSO,Armada Olombendo FPSO,ZAI,RL,------7-,1801,,0604S 01121E,
,AO,BAB,Baba,Baba,,RQ,1-------,0901,,1450S 01214E,
,AO,BDT,Baía dos Tigres,Baia dos Tigres,,RL,1-------,0212,,1636S 01144E,
,AO,BDD,Barra do Dande,Barra do Dande,,RL,1-------,0103,,,
,AO,BEL,Belas,Belas,LUA,RL,--3-----,1707,,0855S 01310E,
,AO,BUG,Benguela,Benguela,,AI,1--4----,9601,,,
,AO,CAB,Cabinda,Cabinda,,AI,1--4----,9601,,,
¦,AO,LAA,Cacongo,Cacongo,CAB,AS,--3-----,0103,,0514S 01209E,
,AO,CFF,Cafunfo,Cafunfo,,AI,---4----,9912,,,
,AO,CNZ,Cangamba,Cangamba,,AI,---4----,9912,,,
,AO,KNP,Capanda,Capanda,,AI,---4----,9912,,,
,AO,CPO,Capulo,Capulo,,RQ,1-------,0901,,0759S 01310E,
,AO,CBT,Catumbela,Catumbela,,AI,---4----,9912,,,
,AO,CAV,Cazombo,Cazombo,,AI,---4----,9601,,,
,AO,PGI,Chitato,Chitato,,AI,---4----,9912,,,
,AO,CLV,CLOV FPSO,CLOV FPSO,,RL,------7-,1407,,0727S 01134E,
,AO,CUI,Cuio,Cuio,,RQ,1-------,0901,,1259S 01259E,
,AO,CTI,Cuito Cuanavale,Cuito Cuanavale,,AI,---4----,9912,,,
,AO,DAL,Dalia,Dalia,,RQ,1-------,0307,,0741S 01147E,
,AO,DRC,Dirico,Dirico,,AI,---4----,9912,,,
,AO,DGR,Dombe Grande,Dombe Grande,,RL,1-------,0103,,,
,AO,DUE,Dundo,Dundo,,AI,---4----,9912,,,
,AO,ETN,Essungo Terminal,Essungo Terminal,,RQ,1-------,0901,,0620S 01210E,
,AO,FBY,Farta Bay,Farta Bay,,RQ,1-------,0901,,1237S 01312E,
,AO,FLT,Futila Terminal,Futila Terminal,,RQ,1-------,0901,,0527S 01211E,
,AO,GIM,Gimboa,Gimboa,,RL,1-------,1107,,0732S 01210E,
,AO,GIR,Girassol Terminal,Girassol Terminal,,RL,1-------,0901,,0738S 01141E,
,AO,GPO,Greater Plutonio,Greater Plutonio,,RL,1-------,1601,,0750S 01207E,
,AO,NOV,Huambo,Huambo,,AI,---4----,9912,,,
,AO,JMB,Jamba,Jamba,,AI,---4----,9601,,,
,AO,KTI,Kiame Terminal,Kiame Terminal,,RQ,1-------,0901,,,
,AO,SVP,Kuito,Kuito,,AI,---4----,9912,,,
,AO,LIE,Lieura,Lieura,,QQ,1-------,8103,,,
,AO,LOB,Lobito,Lobito,,RL,1---5---,0103,,,
,AO,LBT,Lombo Terminal,Lombo Terminal,,RQ,1-------,0901,,0659S 01221E,
,AO,LAD,Luanda,Luanda,,AI,1--45---,9601,,,
,AO,UAL,Luau,Luau,,AI,---4----,9912,,,
,AO,SDD,Lubango,Lubango,,AI,---4----,9912,,,
,AO,LUC,Lucira,Lucira,,RL,1-3-----,0103,,,
,AO,LUO,Luena,Luena,,AI,---4----,9912,,,
,AO,LBZ,Lukapa,Lukapa,,AI,---4----,9912,,,
,AO,GGC,Lumbala,Lumbala,,AI,---4----,9912,,,
,AO,LZM,Luzamba,Luzamba,,AI,---4----,9912,,,
,AO,MEG,Malange,Malange,,AI,---4----,9601,,,
,AO,MLO,Malembo,Malembo,,RL,--3-----,9811,,,
,AO,MAL,Malongo,Malongo,,RQ,0-------,9012,,,
,AO,MDZ,Maquela Do Zombo,Maquela Do Zombo,UIG,RL,--3-----,1601,,0604S 01506E,
,AO,MTL,Matala,Matala,HUI,RL,--3-----,1601,,1444S 01502E,
,AO,SSY,M'banza Congo,M'banza Congo,,AI,---4----,9912,,,
,AO,SPP,Menongue,Menongue,,AI,---4----,9912,,,
,AO,MOS,Mocamedes,Mocamedes,,RQ,--3-----,0901,,1510S 01209E,
,AO,MSZ,Namibe,Namibe,,AI,1--4----,9506,,,
,AO,NDF,N'dalatando,N'dalatando,CNO,AI,---4----,0212,,0918S 01455E,
,AO,GXG,Negage,Negage,,AI,---4----,9912,,,
,AO,NQI,Nóqui,Noqui,,RL,123-----,0901,,0551S 01326E,
,AO,NRQ,N'Riquinha,N'Riquinha,,AI,---4----,9912,,,
,AO,NZA,Nzagi,Nzagi,,AI,---4----,9912,,,
,AO,ARZ,N'Zeto,N'Zeto,,AI,---4----,9912,,,
¦,AO,NTO,N'Zeto,N'Zeto,ZAI,AS,1-3-----,0901,,0714S 01252E,
,AO,NGV,Ondjiva,Ondjiva,CNN,AI,---4----,0212,,1704S 01544E,
,AO,VPE,Ongiva,Ongiva,,AI,---4----,9912,,,
,AO,PAT,Palanca Terminal,Palanca Terminal,,RQ,1-------,9506,,,
,AO,PAZ,Pazflor FPSO,Pazflor FPSO,,RL,------7-,1107,,0821S 01206E,
,AO,PBN,Porto Amboim,Porto Amboim,,AI,1-------,9601,,,
,AO,PSA,Porto Saco (Portosalazar),Porto Saco (Portosalazar),,RQ,1-------,0901,,1508S 01208E,
,AO,RSN,River Sao Nicolau,River Sao Nicolau,,RQ,1-------,0901,,1415S 01220E,
,AO,STC,Santa Clara,Santa Clara,UIG,RL,--3--6--,1107,,0722S 01444E,
,AO,VHC,Saurimo,Saurimo,,AI,---4----,9912,,,
,AO,SBT,Saxi Batuque FPSO,Saxi Batuque FPSO,,RL,------7-,1201,,0619S 01113E,
,AO,STL,Sazaire Terminal,Sazaire Terminal,,RQ,1-------,0901,,0605S 01223E,
,AO,SZA,Soyo,Soyo,,AI,1--4----,9912,,,
,AO,SOQ,Soyo-Quinfuquena Terminal,Soyo-Quinfuquena Terminal,,RQ,1-------,9506,,,
,AO,NDD,Sumbe,Sumbe,,AI,1-34----,9506,,,
,AO,TAK,Takula Terminal,Takula Terminal,,RQ,1-------,9506,,,
¦,AO,PLE,Tombua,Tombua,NAM,AS,1-3-----,0103,,1549S 01151E,
,AO,UGO,Uíge,Uige,,AI,---4----,0212,,0737S 01503E,
,AO,VNA,Viana,Viana,LUA,RL,--3-----,1607,,0854S 01322E,
,AO,CEO,Waku Kungo,Waku Kungo,,AI,---4----,0212,,1121S 01507E,
,AO,XGN,Xangongo,Xangongo,,AI,---4----,9912,,,
,AQ,ABA,Aboa,Aboa,,RL,1-------,0507,,7303S 01325W,
,AQ,AMS,Amundsen-Scott,Amundsen-Scott,,RL,--3-----,0507,,8959S 13916E,
,AQ,ARC,Arctowski,Arctowski,,RL,1-------,0507,,6209S 05828W,
,AQ,ART,Artigas,Artigas,,RL,1-------,0507,,6211S 05854W,
,AQ,APT,Arturo Prat,Arturo Prat,,RL,1-------,0507,,6230S 05941W,
,AQ,BEL,Belgrano II,Belgrano II,,RL,--3-----,0507,,7752S 03437W,
,AQ,BHN,Bellingshausen,Bellingshausen,,RL,1-------,0507,,6211S 05857W,
,AQ,CAS,Casey Station,Casey Station,,RL,1-------,0907,,6617S 11031E,
,AQ,CFZ,Comandante Ferraz,Comandante Ferraz,,RL,1-------,0507,,6205S 05823W,
,AQ,CON,Concordia,Concordia,,RL,--3-----,0507,,7506S 12323E,
,AQ,DAV,Davis Station,Davis Station,,RL,1-------,0907,,6834S 07758E,
,AQ,DMF,Dome Fuji,Dome Fuji,,RL,--3-----,0507,,7719S 03942E,
,AQ,DRZ,Druzhnaya 4,Druzhnaya 4,,RL,--3-----,0507,,6944S 07342E,
,AQ,DDU,Dumont d'Urville Station,Dumont d'Urville Station,,RL,1-------,0907,,6639S 14000E,
,AQ,ESC,Escudero,Escudero,,RL,1-------,0507,,6212S 05857W,
,AQ,ESP,Esperanza,Esperanza,,RL,1-------,0507,,6323S 05659W,
,AQ,GDC,Gabriel de Castilla,Gabriel de Castilla,,RL,--3-----,0507,,6259S 06041W,
,AQ,OHG,General Bernardo O'higgins,General Bernardo O'higgins,,RL,1-------,0507,,6319S 05754W,
,AQ,GWL,Great Wall,Great Wall,,RL,1-------,0507,,6213S 05858W,
,AQ,HLY,Halley,Halley,,RL,1-------,0507,,7534S 02632W,
,AQ,JBS,Jang Bogo Station,Jang Bogo Station,,RL,1-------,1601,,7436S 16412E,
,AQ,JCP,Juan Carlos Primero,Juan Carlos Primero,,RL,1-------,0507,,6239S 06023W,
,AQ,JUB,Jubany,Jubany,,RL,1-------,0507,,6214S 05839W,
,AQ,KSG,King Sejong,King Sejong,,RL,1-------,0507,,6213S 05847W,
,AQ,KHN,Kohnen,Kohnen,,RL,1-------,0507,,7500S 00004E,
,AQ,LAW,Law Base,Law Base,,RL,1-------,0507,,6923S 07623E,
,AQ,MTR,Maitri,Maitri,,RL,--3-----,0507,,7045S 01144E,
